,VENDOR_IDENTIFIER,VENDOR_NUMBER,VENDOR_NAME,VENDOR_CITY,VENDOR_COUNTRY,VENDOR_ADDRESS
303,98859864,2345.0,REYNOLDS CONSUMER PROD CANADA INC.,HOUSTON,US,191 EVANS AVENUE
304,98859871,2351.0,ECOBAIN GARDENS,TEXAS,US,434 AVENUE E SOUTH
305,98859873,2353.0,CHEMTEC CHEMICALS LTD,LOS ANGELES,US,P.O.BOX 1576.
306,98859880,236.0,ALLIANCE MERCANTILE INC.,CARROLLTON,US,3451 WAYBURNE DRIVE
307,98859889,2368.0,NONNA PIA'S,JERSEY CITY,US,9132 EMERALD DRIVE
309,98859892,2370.0,GREAT WEST ITALIAN IMPORTERS,FLORIDA,US,5130 SKYLINE WAY N.E.
310,98859893,2371.0,VENTURA FOODS,HOUSTON,US,P.O BOX 15457 STATION A
311,98859901,2379.0,DYNALINE INDUSTRIES INC,OHIO,US,18070 109 AVENUE
312,98859908,2385.0,SCHNEIDER ELECTRIC,VISTA,US,5985 MCLAUGHLIN ROAD
313,98859919,2395.0,DORCY CANADA,MONTGOMERY,US,867 LONGRIDGE DRIVE
314,98859921,2397.0,ALASKO FROZEN FOODS,WESTMINSTER,US,C/O ANNE GUTSCH
315,98859922,2398.0,EDMONTON MEAT PACKING,OHIO,US,8320 YELLOWHEAD TR.
316,98859928,2403.0,FINDLATER FINE FOODS LTD.,TEXAS,US,150 HIGHLAND CRESCENT
318,98859948,2421.0,LACTALIS CANADA INC.#13137,HOUSTON,US,C/O T10033
319,98859960,2432.0,SAPUTO FOODS LIMITED,TEXAS,US,C/O ROB KNITTIG
320,98859963,2435.0,MAPLEHURST BAKERIES,HOUSTON,US,PO BOX 3525
321,98859966,2438.0,HAIN CELESTIAL CANADA,HOUSTON,US,"180 ATTWELL DRIVE, STE 410"
322,98859973,2444.0,REGAL IDEAS (REGAL ALUMINUM PROD.),CLEVELAND,US,7350 WILSON AVE
323,98859976,2447.0,AUNT KATHY'S HOMESTYLE PRODUCTS INC,JERSEY CITY,US,BOX 279
324,98859979,245.0,GENERAL MILLS,VISTA,US,5825 EXPLORER DRIVE
325,98859981,2451.0,COMPASS MINERALS,WASHINGTON,US,SUITE 202-6700 CENTURY AVE.
327,98859993,2462.0,THE CUCUMBER MAN,LOS ANGELES,US,8 6TH STREET SW
328,98859994,2463.0,DOLE PACKAGED FOODS,TEXAS,US,C/O CONCORD NATIONAL
329,98859995,2464.0,BROXBURN VEGETABLES LTD.,RICHARDSON,US,5 - 90008 RGE RD 2106
331,98860004,2472.0,JOHNSON FRESH FARMS,BALTIMORE,US,1205 HERITAGE ROAD
332,98860011,2479.0,REINHART FOODS,HOUSTON,US,235 YORKLAND BLVD
333,98860012,248.0,SAPUTO DAIRY PRODUCTS CANADA GP,TEXAS,US,C/O ROB KNITTIG
334,98860013,2480.0,CAPITAL PACKERS_INC,OHIO,US,12907-57 STREET
335,98860026,2492.0,CONAGRA FOODS_CANADA,WASHINGTON,US,5055 SATELLITE DRIVE
336,98860037,2501.0,TREE OF LIFE,KNOXVILLE,US,19488 TELEGRAPH TRAIL
337,98860052,2515.0,FOOTHILLS CREAMERY LTD.,FLORIDA,US,2825 BONNYBROOK ROAD S.E.
339,98860057,252.0,AGI GRAIN GUARD,PALM BAY,US,BOX 94
340,98860062,2524.0,PROCTER & GAMBLE INC,MISSOURI,US,BOX 2241
341,98860072,2533.0,DATA COMMUNICATIONS MANAGEMENT,TEXAS,US,243 ROBIN CRESCENT
342,98860079,254.0,PEAK OF THE MARKET,MISSOURI,US,1200 KING EDWARD STREET
344,98860103,2561.0,EXCELDOR FOODS LTD,MCKINNEY,US,PO BOX 220
345,98860104,2562.0,SCHRIEMER FAMILY FARM_#,LOS ANGELES,US,PO BOX 32
346,98860106,2564.0,IPEX INC,DETROIT,US,807 PHARMACY AVE
347,98860113,2570.0,AGROPUR CO-OPERATIVE FINE CHEESE DV,EVANSVILLE,US,4700 RUE ARMAND-FRAPPIER
348,98860119,2576.0,HI-BROW LTD.,CHICAGO,US,RR #1
349,98860124,2580.0,WHOLESOME HARVEST BAKING LTD.,MISSOURI,US,PO BOX 61027
350,98860125,2581.0,ITW CONSTRUCTION PRODUCTS,SPRINGFIELD,US,120 TRAVAIL ROAD
351,98860127,2583.0,PRIMO FOODS INC.,TEXAS,US,C/O ADVANTAGE CKN
352,98860137,2592.0,L'OREAL CANADA INC,CEDAR RAPIDS,US,3500 DOUGLAS B FLOREANI
353,98860141,2596.0,NATURE'S PATH FOODS INC,LOS ANGELES,US,9100 VAN HORNE WAY
355,98860146,260.0,BEE MAID HONEY LTD,MISSOURI,US,C/O JERI HUDSON
357,98860150,2603.0,QUINCO AND CO INC.,SPRINGFIELD,US,2035 RENE PATENAUDE STREET
358,98860155,2608.0,CAVALIER EQUESTRIAN INC.,BOULDER,US,P.O. BOX 10
360,98860173,2624.0,ALTIUS SPICES AND SEASONINGS INC.,BAKERSFIELD,US,19000 TRANS CANADA HIGHWAY
361,98860174,2625.0,NOTHING BUT NATURE INC.,GRESHAM,US,PO BOX 2190
362,98860175,2626.0,MOUNTAIN TOP FOODS,YONKERS,US,2220 - 19TH AVENUE
364,98860185,2635.0,FIERA FOODS COMPANY,HOUSTON,US,50 MARMORA ST
366,98860188,2638.0,STANLEY BLACK & DECKER,WARREN,US,6275 MILLCREEK DRIVE
367,98860197,2646.0,DUNDAS JAFINE IND LTD,BIRMINGHAM,US,80 WEST DRIVE
370,98860204,2652.0,ELITE SWEETS,BIRMINGHAM,US,9 EDVAC DRIVE
371,98860209,2657.0,GRACIOUS LIVING,LINCOLN,US,7200 MARTIN GROVE ROAD
372,98860215,2662.0,FREUD WESTMORE TOOLS,WASHINGTON,US,7450 PACIFIC CIRCLE
373,98860220,2667.0,NOSSACK FINE MEATS,LOS ANGELES,US,#100 7240 JOHNSTONE DRIVE
374,98860221,2668.0,HOMTRONIX (SHIXIA SEESA-NINGBO),INGLEWOOD,US,SUIT 217
375,98860232,2678.0,ELDORADO VEGTABLE FARM,LOS ANGELES,US,BOX 1330
376,98860236,2681.0,SHANDEX GROUP LTD,CAMBRIDGE,US,C/O W.A. MAGUIRE SALES LTD.
377,98860237,2682.0,LASSONDE INC.,GREENSBORO,US,"170, 5E AVENUE"
378,98860242,2687.0,FREUDENBERG HOUSEHOLD PRODUCTS INC,RICHARDSON,US,"666,BLVD. ST-MARTIN WEST"
380,98860247,2691.0,B.C. FRESH,COLUMBIA,US,7330 CHURCHILL STREET
383,98860267,2709.0,BEAR CREEK FOODS,CHICAGO,US,PO BOX 788
384,98860269,2710.0,CON AGRA FOODS CANADA,WASHINGTON,US,5055 SATELLITE DRIVE
385,98860271,2712.0,PALADIN LABS INC,WILMINGTON,US,"100 ALEXIS NIHON BLVD, SUITE 600"
386,98860273,2714.0,CH ROBINSON WORLDWIDE,HOUSTON,US,PO BOX 57729 STATION A
387,98860274,2715.0,THOMAS FRESH_COLD_FRUIT,FLORIDA,US,5460 76TH AVENUE S.E.
388,98860275,2716.0,G & L DISTRIBUTORS LTD,DETROIT,US,282 ATHABASCAN AVENUE
390,98860285,2725.0,WHOLESALE PRODUCE SUPPLY CO,MISSOURI,US,UNIT 7--1650 NOTRE DAME
391,98860286,2726.0,CONSOLIDATED FRUIT PACKERS,MONTGOMERY,US,1004-1708 DOLPHIN AVENUE
392,98860288,2728.0,STAR PRODUCE GRAPEFRUIT/LIMES,TEXAS,US,2941 PORTAGE AVE
393,98860289,2729.0,ATRIPACK INC.,GREEN BAY,US,814 LANOIE
395,98860296,2735.0,WORLD FAMOUS SALES OF CANADA INC,CHICAGO,US,333 CONFEDERATION PARKWAY
396,98860298,2737.0,KRAFT HEINZ CANADA ULC,HOUSTON,US,PO BOX 4529
398,98860302,2740.0,HOMTRONIX (ALLEN GROUP- XIANMEN),INGLEWOOD,US,SUIT 217
399,98860319,2756.0,CH ROBINSON WORLDWIDE_CORN,HOUSTON,US,PO BOX 57729 STATION A
401,98860324,2760.0,FUSION PRODUCTS LTD,CHARLOTTE,US,"5 CHERRY BLOSSOM RD, UNIT 7"
402,98860328,2764.0,GROTE,SPRINGFIELD,US,230 TRAVAIL ROAD
403,98860330,2766.0,TREE OF LIFE CANADA_(CROSSDOCK),OHIO,US,16627 116TH AVENUE
404,98860332,2768.0,DIRECT PLUS FOOD GROUP,KNOXVILLE,US,19540 - 94 AVE
405,98860340,2775.0,MARS CANADA INC,BOSTON,US,37 HOLLAND DR
408,98860347,2781.0,NORTH AMERICAN PRODUCE BUYERS LTD.,HOUSTON,US,"165 THE QUEENSWAY, STE 336"
409,98860350,2784.0,SANFORD CANADA,HOUSTON,US,P.O. BOX 3502 STATION 'A'
410,98860358,2791.0,PINNACLE FOODS CORPORATION,FLORIDA,US,C/O ACOSTA CANADA
411,98860362,2795.0,SIMPSON STRONG-TIE CANADA LTD,SPRINGFIELD,US,11476 KINGSTON STREET
412,98860364,2797.0,INTERNATIONAL HERB,KNOXVILLE,US,4151 184 ST
413,98860366,2799.0,CLOVER LEAF CHEESE,FLORIDA,US,1201 45TH AVE NE
415,98860377,2808.0,EL MOLINO FOODS,CHICAGO,US,1 ALBERTA ROAD
417,98860382,2812.0,JAY TRENDS SALES,FAIRFIELD,US,1901 TRANSCANADA
418,98860384,2814.0,ELCO FINE FOODS INC,SPRINGFIELD,US,233 ALDEN ROAD
420,98860387,2817.0,KRAFT HEINZ CANADA ULC,HOUSTON,US,95 MOATFIELD DRIVE
421,98860396,2825.0,FREYBE/GOURMET CHEF,NAPERVILLE,US,27101 56 AVE
422,98860399,2828.0,FINE CHOICE FOODS LTD.,LOS ANGELES,US,23111 FRASERWOOD WAY
423,98860404,2832.0, SUMMER FRESH SALADS,LINCOLN,US,181 SHARER ROAD
424,98860408,2836.0,AGI WESTEEL SASKATOON,TEXAS,US,PO BOX 1370
425,98860410,2838.0,ELMAN'S FOOD PRODUCTS LTD,WASHINGTON,US,647 JARVIS AVE.
426,98860417,2844.0,GROUP KRISDA-STEVIA OF CANADA INC.,SPRINGFIELD,US,121 MCPHERSON STREET
427,98860431,2857.0,YUCATAN FOODS,AKRON,US,VERSACOLD MATAQUI
428,98860433,2859.0,JAN K. OVERWEEL LTD,LINCOLN,US,3700 STEELES AVE SUITE 702
429,98860435,2860.0,KRAFT HEINZ CANADA ULC_VAUDREUIL,HOUSTON,US,PO BOX 4529
430,98860438,2863.0,ARLA FOODS,CHICAGO,US,675 RIVERMEDE ROAD
431,98860443,2868.0,HUBBELL CANADA LP,LOS ANGELES,US,870 BROCK ROAD SOUTH
432,98860448,2872.0,ALLIANCE MERCANTILE INC.,CARROLLTON,US,3451 WAYBURNE DRIVE
433,98860449,2873.0,BRADSHAW CANADA,LINCOLN,US,"200 ZENWAY BLVD, UNIT 3"
434,98860450,2874.0,EAST PENN CANADA,ALLEN,US,C/O JAMES BOUCHARD
435,98860452,2876.0,PILLERS FINE FOODS,JERSEY CITY,US,443 WISMER STREET
436,98860457,2880.0,BRADSHAW CANADA,LINCOLN,US,"200 ZENWAY BLVD, UNIT 3"
437,98860458,2881.0,TROUW NUTRITION CANADA INC.,DETROIT,US,600 JAMES STREET SOUTH
438,98860459,2882.0,BRADSHAW CANADA,MANCHESTER,US,"200 ZENWAY BLVD, UNIT 3"
439,98860463,2886.0,KUUS INC,HOUSTON,US,450 TAPSCOTT ROAD
440,98860467,289.0,SUNFRESH FARMS LTD,OHIO,US,10471 - 176 STREET
441,98860470,2892.0,W.T. LYNCH FOODS LTD,DETROIT,US,72 RAILSIDE RD
442,98860472,2894.0,DIRECT NUTRISCIENCES,STERLING HEIGHTS,US,2763 NORTH YORK RIVER ROAD
443,98860473,2895.0,SELECT BRANDS(MOLSON),TACOMA,US,C/O JEFF CHANG
444,98860479,290.0,EARTH'S OWN,CARROLLTON,US,601 - 4180 LOUGHEED HIGHWAY
447,98860495,2914.0,MCCORMICK CANADA INC,ROCKFORD,US,P.O. BOX 5788
448,98860496,2915.0,WOOLWICH DAIRY INC,LOS ANGELES,US,425 RICHARDSON ROAD
449,98860499,2918.0,U.S. COTTON CO,NAPERVILLE,US,C/O GAYLE OSBORNE
450,98860505,2923.0,LASSONDE,HIGH POINT,US,170 5TH AVE.
451,98860511,2929.0,WINDSET FARMS,CHICAGO,US,3660 41B STREET
452,98860517,2934.0,BRETT-YOUNG SEEDS LIMITED (SEED),WASHINGTON,US,BRETTYOUNG SEEDS
453,98860518,2935.0,CRC CANADA CO,HOUSTON,US,83 GALAXY BLVD UNIT #36
454,98860519,2936.0,DAVID OPPENHEIMER & ASSOC (CDN),CHICAGO,US,#101 - 11 BURBRIDGE STREET
455,98860527,2943.0,CANPRESSCO PRODUCTS INC.,TEXAS,US,514A-45TH ST EAST
456,98860542,2957.0,UKAL CANADA INC.,DETROIT,US,7525 PION STREET
457,98860548,2962.0,PAPER CHEF INC.,HOUSTON,US,81-B MAYBROOK DR
458,98860551,2965.0,THE GORILLA GLUE COMPANY,HOUSTON,US,PO BOX 15950
459,98860555,2969.0,JOHNVINCE FOODS,TEXAS,US,C/O WALLY FUNK
460,98860566,2979.0,CARGILL FOODS_(EXCEL),MCKINNEY,US,P.O. BOX 3850
461,98860570,2982.0,ENGLISH BAY BLENDING,ORLANDO,US,1066 CLIVEDEN AVE
463,98860574,2986.0,HILLMAN GROUP,HOUSTON,US,55 MILNE AVENUE
464,98860575,2987.0,DART CANADA INC,HOUSTON,US,C/O  RUPERT REED
465,98860581,2992.0,NUFARM AGRICULTURE INC,FLORIDA,US,"5101, 333-96 AVE NE"
466,98860595,3003.0,TREE OF LIFE CANADA,FLORIDA,US,6745-76 AVENUE SE
467,98860603,3010.0,MAPLE LEAF FRESH PORK BRANDON,HOUSTON,US,PO BOX 46206
468,98860606,3013.0,AKITA FOOD INC,AMARILLO,US,8787 4E CROISSANT
469,98860607,3014.0,OCEAN SPRAY INTERNATIONAL,VISTA,US,"55 CITY CENTRE DRIVE, SUITE 405"
470,98860615,3021.0,SHEPHERD HARDWARE PRODUCTS LTD,SPRINGFIELD,US,170 DUFFIELD DRIVE
471,98860618,3024.0,CANYON CREEK SOUP COMPANY LTD.,OHIO,US,8704-53RD AVENUE
472,98860622,3028.0,PPG ARCHITECTURAL COATINGS,BILLINGS,US,"1550, RUE AMPERE, BUREAU 500"
473,98860633,3038.0,GIA FOODS LTD.,LOS ANGELES,US,UNIT 110-1700 NO. 6 ROAD
474,98860636,3040.0,ROLLOVER PREMIUM PET FOOD LTD,MCKINNEY,US,BOX 5007
475,98860642,3046.0,HOMTRONIX (HUALEI 1-NINGBO),INGLEWOOD,US,#711 THE ELECTRA BUILDING
476,98860646,305.0,DR. OETKER CANADA LTD.,FLORIDA,US,C/O ACOSTA CANADA
477,98860653,3056.0,FEDERATED CO-OP LTD_ACCT 6928-06,LOS ANGELES,US,PETROLEUM DISTRIBUTION DEPT
478,98860660,3062.0,LB MAPLE TREAT CORP,INGLEWOOD,US,1717 WEST 5TH AVENUE
479,98860663,3065.0,FERRERO CANADA LTD,NAMPA,US,C/O DOROTHY LI
480,98860665,3067.0,BAKEMARK CANADA,FLORIDA,US,3202 9TH ST. S.E.
481,98860685,3085.0,STAR PRODUCE CANTALOUPE,TEXAS,US,2941 PORTAGE AVE
482,98860690,309.0,LA MARGNA INC,LOS ANGELES,US,412 AVE ST-SACREMENT
483,98860693,3092.0,SNOWCREST FOODS,ABILENE,US,1925 RIVERSIDE ROAD
484,98860694,3093.0,GOLD STANDARD SPECIALTY OILS,LOS ANGELES,US,1440 FLEURY STREET
485,98860710,3107.0,KITCHEN PARTNERS LIMITED,OHIO,US,2545 96 STREET
487,98860713,311.0,"HAIN-CELESTIAL CANADA, ULC",HOUSTON,US,"180 ATTWELL DRIVE, SUITE 410"
489,98860718,3114.0,EXPORT PACKERS_(SEAFOOD),BAKERSFIELD,US,107 WALKER DRIVE
490,98860721,3117.0,DAWN FOOD PRODUCTS (CANADA) LTD,BIRMINGHAM,US,275 STEELWELL ROAD
491,98860725,3120.0,CALKINS & BURKE LTD,INGLEWOOD,US,SUITE 301
492,98860737,3131.0,MAPLE LEAF CONSUMER FOODS INC,WARREN,US,6985 FINANCIAL DRIVE
494,98860749,3142.0,POLYETHICS INDUSTRIES,LOS ANGELES,US,625 HARVIE SETTLEMENT RD.PO 51
495,98860759,3151.0,FLEXAHOPPER PLASTICS LTD,RICHARDSON,US,2530 - 39TH STREET NORTH
497,98860772,3163.0,BRIDOR INC.,BILLINGS,US,1370 GRAHAM-BELL
498,98860774,3165.0,SUN-BRITE CANNING LTD,HOUSTON,US,56 HUXLEY ROAD
499,98860781,3171.0,FLEISCHMANN'S YEAST LTD,FLORIDA,US,2201 - 15TH ST. S.E.
500,98860785,3175.0,WHYTE'S FOOD INC.,RICHARDSON,US,1540 DES PATRIOTES RUE
501,98860792,3181.0,FOLEY'S CANDIES LTD PARTNERSHIP,LANCASTER,US,11520 HORSESHOE WAY
502,98860796,3185.0,EXPRESCO FOODS,DETROIT,US,8205 TRANSCANADA
503,98860801,319.0,JUPITER AGRO-BIOTECH INC.,CHARLESTON,US,P.O. BOX 12537
504,98860805,3193.0,I-NOV CONCEPT INC.,IRVING,US,1407 RUE NATIONALE
505,98860807,3195.0,UCI FRAM GROUP,WASHINGTON,US,UNIT 107 - 2430 MEADOWPINE BLVD
506,98860809,3197.0,E.D. SMITH & SONS LTD,LINCOLN,US,944 HIGHWAY #8
507,98860819,3205.0,MASDEL INC.,AMARILLO,US,C/O CHANENE CONSULTING INC
509,98860825,3210.0,DAVID OPPENHEIMER & ASSOC (CDN),CHICAGO,US,#101 - 11 BURBRIDGE STREET
510,98860845,3229.0,DAVID OPPENHEIMER & ASSOC (CDN),CHICAGO,US,#101 - 11 BURBRIDGE STREET
512,98860848,3231.0,LAND O' LAKES INC.,GREEN BAY,US,C/0 914130
513,98860849,3232.0,HARLAN BAKERIES,MONTGOMERY,US,PO BOX 516
514,98860850,3233.0,CURVE DISTRIBUTION SERVICES INC.,FLORIDA,US,"BAY 124, 10725 - 25 STREET NE"
515,98860862,3244.0,TREE OF LIFE CANADA,CHICAGO,US,91 GLACIER STREET
516,98860867,3249.0,CONGLOM,DETROIT,US,2600 MARIE CURIE
517,98860881,3261.0,TREE OF LIFE CANADA,FLORIDA,US,6745-76 AVENUE SE
518,98860885,3265.0,BELL SPORTS  INC,CARROLLTON,US,23 MCCANDLESS COURT
519,98860887,3267.0,NEXUS BIOAG,MISSOURI,US,99 LOWSON CRES.
520,98860893,3272.0,CELTRADE CANADA,WASHINGTON,US,7566 BATH ROAD
521,98860895,3274.0,KANE VETERINARY SUPPLIES LTD.,OHIO,US,11204 - 186 STREET N.W.
522,98860896,3275.0,ATLAS GRAHAM FURGALE (AGF),WASHINGTON,US,PO BOX 1978
523,98860905,3283.0,BOTHWELL CHEESE,ORLANDO,US,P.O. BOX 119
524,98860911,3289.0,AGROPUR,OHIO,US,13944 YELLOWHEAD TRAIL
525,98860913,3290.0,SKY BLUE WATER INC__3,MISSOURI,US,C/O GEORGE GROUMOUTIS
526,98860920,3297.0,ICE RIVER SPRINGS WATER CO.,DETROIT,US,485387 30 SIDEROAD
527,98860921,3298.0,ICE RIVER SPRINGS WATER CO.,DETROIT,US,485387 30 SIDEROAD
528,98860922,3299.0,SKY BLUE WATER INC,MISSOURI,US,C/O GEORGE GROUMOUTIS
529,98860926,3301.0,GANONG BROS LTD,DETROIT,US,1 CHOCOLATE DRIVE
530,98860929,3304.0,LA COCINA FOODS,DETROIT,US,BOX 121
531,98860931,3306.0,HOMTRONIX (INLITEN-YANTIAN),INGLEWOOD,US,#711 THE ELECTRA BUILDING
532,98860932,3307.0,RED HAT COOPERATIVE LTD,LOS ANGELES,US,809 BROADWAY AVE E
533,98860938,3312.0,CONSOLIDATED FRUIT PACKERS,MONTGOMERY,US,800-1631 DICKSON AVENUE
534,98860942,3316.0,POPPA CORN CORPORATION,WASHINGTON,US,"5135 CREEKBANK ROAD, UNIT C"
537,98860981,3351.0,BUNZL DISTRIBUTION,LOS ANGELES,US,7433 NESLON ROAD
538,98860982,3352.0,KROWN PRODUCE,TEXAS,US,1171- 8 ST. EAST
539,98860984,3354.0,HOMTRONIX (TRI STAR-NINGBO),INGLEWOOD,US,#711 THE ELECTRA BUILDING
542,98861010,3378.0,BALCAN PLASTICS ONTARIO,WASHINGTON,US,6665 TOIMKEN RD
543,98861018,3385.0,MCCAIN FOODS (CANADA),FRISCO,US,8800 MAIN STREET
544,98861034,34.0,CUSTOM LABELS INC,TEXAS,US,#3-2225 1ST AVENUE NORTH
545,98861035,340.0,MAPLEHURST BAKERIES,HOUSTON,US,PO BOX 3525
546,98861036,3400.0,ROBERTS CO.CANADA LTD,BAKERSFIELD,US,34 HANSEN ROAD SOUTH
547,98861037,3401.0,SPARK'S FARM EGG SUPPLIES,FLORIDA,US,R.R. #6
548,98861038,3402.0,THOMAS FRESH - COLD,FLORIDA,US,5460 76TH AVENUE S.E.
549,98861049,3412.0,UNFI,MIDLAND,US,153 12757 VULCAN WAY
550,98861050,3413.0,SAGER FOOD PRODUCTS INC.,DETROIT,US,6755 BOULEVARD HENRI BOURASSA OUEST
551,98861064,3426.0,THE NORFOLK FRUIT GROWERS ASSOC.,DETROIT,US,99 QUEENSWAY EAST
554,98861085,3445.0,CHIQUITA BRANDS INC,HUNTSVILLE,US,PO_BOX_9100
555,98861089,3449.0,BE PRESSURE SUPPLY,ABILENE,US,30585 PROGRESSIVE WAY
556,98861094,3453.0,YAT SUN FOOD PRODUCTS,OHIO,US,12531-126ST.
557,98861100,3459.0,DAVID OPPENHEIMER & ASSOC (US),CHICAGO,US,#101-11 BURBRIDGE STREET
558,98861104,3462.0,STAR PRODUCE,TEXAS,US,2941 PORTAGE AVE
559,98861105,3463.0,CLOVER LEAF SEAFOODS CORP.,FLORIDA,US,DAN ROBBINS
561,98861112,347.0,ANDERSON WATTS,CARROLLTON,US,6336 DARNLEY ST
562,98861113,3470.0,CERATEC INC.,LOS ANGELES,US,414 AVE SAINT-SACREMENT
563,98861120,3477.0,GENERAL MILLS CANADA CORP,FLORIDA,US,"#100, 6060 - 90 AVE. SE"
564,98861122,3479.0,GENERAL MILLS CANADA CORP,FLORIDA,US,"#100, 6060 - 90 AVE. SE"
565,98861124,3480.0,GENERAL MILLS CANADA CORP,FLORIDA,US,"#100, 6060 - 90 AVE. SE"
566,98861128,3484.0,PACIFIC FRESH FISH LTD,LOS ANGELES,US,679 HENDERSON DRIVE
567,98861130,3486.0,MAPLE LEAF CONSUMER FOODS INC_(PROC,VALLEJO,US,6985 FINANCIAL DRIVE
568,98861139,3494.0,HENKEL CANADA CORPORATION,HOUSTON,US,C/O 912360
569,98861150,3503.0,GARANT/IPCO,DETROIT,US,375 CHEMIN ST FRANCOIS OUEST
571,98861157,351.0,TRANSCHEM,CHARLOTTE,US,1225 FRANKLIN BLVD
572,98861158,3510.0,EURAMAX CANADA INC,BALTIMORE,US,26 LORENA ST
573,98861165,3517.0,INTEX DEVELOPMENT COMPANY LIMITED,JERSEY CITY,US,"9TH FLOOR, EVERBRIGHT CENTER"
574,98861166,3518.0,LACTALIS CANADA INC.,FLORIDA,US,1939 CENTRE AVE. S.E.
575,98861168,352.0,RECOCHEM,LOS ANGELES,US,1745 KINSWAY AVE
576,98861170,3521.0,LACTALIS CANADA (PARMALAT),FLORIDA,US,1939 CENTRE AVE. S.E.
577,98861172,3523.0,LILYDALE-SOFINA FOODS INC,OHIO,US,7727-127 AVE
578,98861173,3524.0,DIRECT PLUS (FCL GRIMMS EDI),FLORIDA,US,4830- 32 STREET S. E
579,98861178,3529.0,DARE FOODS LTD,CARROLLTON,US,C/O INFORM BROKERAGE
581,98861183,3533.0,BRITA CANADA CORPORATION,BIRMINGHAM,US,150 BISCAYNE CRESCENT
582,98861188,3538.0,SM ENTERPRISES.,MODESTO,US,2965 BRISTOL CIRCLE
583,98861198,3547.0,SCOULAR_CANADA,LINCOLN,US,BOX 1236  129 MANITOBA ROAD
584,98861200,3549.0,FREYBE SAUSAGE MFG LTD,OHIO,US,11635-145TH STREET
585,98861210,3558.0,UNFI CANADA INC-GROCERY WEST,LOS ANGELES,US,153 - 12757 VULCAN WAY
586,98861212,356.0,SBI,CONCORD,US,250 DE COPENHAGUE
587,98861224,3570.0,T.H.E. FOOD SOURCE,WASHINGTON,US,#3005 - ONE EVERGREEN PLACE
589,98861229,3575.0,SUNRISE FARMS  (PL PRODUCTS)_WEST,KNOXVILLE,US,13542 - 73 A AVE
590,98861243,3588.0,"THOMAS, LARGE & SINGER",SPRINGFIELD,US,15 ALLSTATE PARKWAY
591,98861245,359.0,BOSHART INDUSTRIES INC,STERLING HEIGHTS,US,25 WHALEY AVENUE
593,98861248,3592.0,S & G PRODUCTS,CHARLESTON,US,340 RUE MASSON
594,98861251,3595.0,WESTWARD PARTS SERVICES LTD,LOS ANGELES,US,6517 - 67TH STREET
595,98861258,3600.0,INTERVET CANADA CORP,MONTGOMERY,US,16750 ROUTE TRANSCANADIENNE
596,98861270,3611.0,GENERAL MILLS CANADA CORP,FLORIDA,US,P.O. BOX 2980
598,98861276,3617.0,ERICKSON MANUFACTURING LTD.,IRVINE,US,IMPORT
599,98861277,3618.0,COMPASS FOOD SALES CO. LTD.,AUSTIN,US,260 INDUSTRIAL PARKWAY N.
600,98861280,3620.0,CONCEPT SGA INC.,IRVING,US,3160 BOUL. DES ENTREPRISES
601,98861282,3622.0,GILDAN APPAREL (CANADA) LP,WESTMINSTER,US,3701 JARRY E
602,98861287,3627.0,LASER SALES INC.,ROCKFORD,US,1717 OXFORD ST. E.
605,98861306,3644.0,DEUER MFG INC,FLORIDA,US,C/O E.B.RISHWORTH AND ASSOC.
606,98861316,3653.0,LASSONDE INC.,GREENSBORO,US,170 SE AVENUE
608,98861328,3664.0,HEINEN FARM LTD.,KANSAS CITY,US,1-55217 RGE RD 244
609,98861339,3674.0,HOMTRONIX (SUOTS-NINGBO),INGLEWOOD,US,#711 ELECTRA BUILDING
610,98861341,3676.0,HARVEST MEATS CO LTD,YORKTON,US,501 YORK ROAD WEST
611,98861342,3677.0,ERICKSON MANUFACTURING LTD.,IRVINE,US,11297 MERRITT LINE
613,98861349,3683.0,GOLDEN BOY FOODS INC,CARROLLTON,US,7725 LOUGHEED HIGHWAY
615,98861353,3687.0,"THOMAS, LARGE & SINGER_(TIM HORTON)",SPRINGFIELD,US,15 ALLSTATE PARKWAY
616,98861359,3692.0,PRIORITY BRANDS,SPRINGFIELD,US,151 ESNA PARK DRIVE  UNIT #4
618,98861369,3700.0,MAPLEHURST BAKERIES,HOUSTON,US,PO BOX 3525
619,98861372,3703.0,PHARMETICS (2011) INC,NAPERVILLE,US,3695 AUTOROUTE DES LAURENTIDES
620,98861373,3704.0,SHERWIN WILLIAMS (MINWAX),HOUSTON,US,CONSUMER BRANDS GROUP
622,98861380,3710.0,SHERWIN WILLIAMS (KRYLON),HOUSTON,US,CONSUMER BRANDS GROUP
623,98861390,372.0,HOMTRONIX (DANSON-NINGBO),INGLEWOOD,US,#711 THE ELECTRA BUILDING
624,98861397,3726.0,NICHE BAKERS CORP,HOUSTON,US,6680 FINCH AVE WEST UNIT 7
625,98861399,3728.0,LANTIC INC (ROGERS SUGAR),INGLEWOOD,US,P.O. BOX 2150
627,98861404,3732.0,OLYMEL S.E.C./LP,BILLINGS,US,1580 RUE EIFFEL
628,98861406,3734.0,GREEN CHOCOLATE WORKS LTD.,CHICAGO,US,102-85 SCHOONER ST
630,98861408,3736.0,HOMTRONIX INDUSTRIES LTD,INGLEWOOD,US,#501 THE ELECTRA BUILDING
